"id","descripcion","nombre"
"t1","Una uva tinta con cuerpo y taninos fuertes","Cabernet Sauvignon"
"t2","Una uva blanca conocida por su frescura y acidez","Sauvignon Blanc"
"t3","Una uva tinta famosa por sus notas frutales y especiadas","Malbec"
"t4","Una uva blanca con notas de fruta tropical y mantequilla","Chardonnay"
"t5","Una uva tinta con cuerpo medio y notas de cereza","Merlot"
"t6","Una uva blanca dulce utilizada para vinos de postre","Riesling"
"t7","Una uva tinta con aromas de frutas rojas y pimienta","Syrah"
"t8","Una uva blanca con notas de manzana y cítricos","Pinot Grigio"
"t9","Una uva tinta con alta acidez y taninos moderados","Sangiovese"
"t10","Una uva blanca con aromas florales y frutales","Gewürztraminer"
